text; class
@saraelsokraa @TawakkolKarman شرموطة اليمن ام ضب تم توسيعها من فوق وتحت من أجل الدولار مثل الشرموطه آيات العرابي; cyber
شكلك في الافتار يقرف — يا اختاااه حرام عليكي دا عاجبني علي غير العاده ; cyber
تروح تبص علي نفسها ف المرايه الاول المنتنه ام ضب او تيجيلي انا نبصصها حلو ده انا متنمره قديمه وممكن اردح كمان; cyber
"#مصر 
نظام السيسي عسكري استبدادي فاشي، قرار الاتحاد الأوربي بشأن حالة حقوق الإنسان في مصر خطوة في الاتجاه الصحيح، هذا النظام يجب ان يكون محل ازدراء الجميع حكومات  ومنظمات وأفراد 
#يسقط_حكم_العسكر"; cyber
خليها تاكلك يا أم ضب ياخائنه دمرتى اليمن والله والله يومك جاى جاى; cyber
يا ساتر يا رب عالست أم ضب; cyber
مبقاش غيرك انتي يا ام ضب ; cyber
اة يا خونا فاضل 13 شهر ع انتخابات الرئاسة مجهزين حد ولا هتقضوها كوميكس ع السيسى وشتيمة وخبراء اقتصاديين وعسكريين ولا هتعملو من بنها ; cyber
ولا طنط ام ضب دى تقولك فين الدولة ..الدولة بتحارب يا عين امك بس انتى مقضيها سبينس ومول العرب ف امان ; cyber
"من يحمي هذا المجنون ؟
مرتضى منصور يشتم هالة شكر الله رئيسة حزب الدستور  يا بت يا ام ضب هضربك بالجزمة 
https //youtube.com/watch?v=j_P0N9eNO1M…"; cyber
طيب نتكلم من غير مثاليات شوية بقا لما واحدة تدخل جامعة مصاريفها اكتر من ٣٠٠٠٠٠ فى السنة اكيد تبقا من طبقة اجتماعية عالية فلما موظف فى الجامعة يعرض عليها الارتباط اكيد هترفض و هتشوفه اقل من مستواها...دة غير ان الاخ دة شكله واخد فى نفسه شلوت و حاسس بذاته اوى بزيادة و دة ممكن; cyber
"بصي هو عيل متخلف مش راجل 
وهي كان ممكن تسكت وتقوله مينفعش أنا عايزة مواصفات كذا كذا زود تخلي زميل ليها يكلمه بعقل مسكتش ودخل أنه يهدد يبقى تبعت اخوها أو باباها يتصرف معاه بقى ويعلمه الادب"; cyber
"اولا المفروض دا انا محدش فرضه عندي ثانيا
محدش مريض غيرك  تعليقاتي للبنات بتكون بمحبه حتى لو معرفهاش لان الكلمه الطيبه صدقه ومدحي ليها مش تقليل من شأني خالص

وفعلا كنت اتمنى اكون راجل عشان ارد عليك؛ بامكاني اقولك قوم بص ف المرايه وانت تشوف بوز القرد بس ربنا خلقنا في أحسن تقويم"; cyber
معلش يا استاذه انتي ارقي من انك تردي عليه ده حد متخلف اكيد وهوا لو راجل كان قلهالك ع عام مش فالسر زي الحراميه; cyber
راجل متخلف والله مش عارفة الناس بتحبه علي ايه!; cyber
"أعلان أريال قمة قلة الأدب والتربية الغلط
بيقولوا للبنات غيظوا حمواتكم وقلوا ادبكم عليهم
الست اللي ربت وكبرت وخلت أبنها راجل ويوم فرحة تيجي عروسته بمنتهي قلة الذوق تفهمها ان جيلكم جيل متخلف وهي البت الفتكه النضيفه اللي بتستعمل اريال"; cyber
دول علي نظام مؤامرات شكرا مفيش تفكير هو كده ومفيش الا كده تيجي تفهميهم زي ما يكونوا بياكلوا برسيم; cyber
"بحد يعني حاجه مش طبعييه  ده الغندور بيتكلم ان هو الأهلي ولا صحفي علي السيسي المريض بيقول ده 
التأجيل تم بطلب من الأهلي .. وامتثال الزمالك للقرار جريمة وإهدار للحقوق! 
اقسم بالله  راجل متخلف  وبوستاته  تحريض  حتي فيه زملكاويه  قالوا راجل ده لازام يتبلغ عنه"; cyber
@Abdoo_Yasen عبده ياسين يشهد أن الدسوقي كان بيقول ع صلاح احسن من ميسي من سنه ونص والله مهتكلم عبده يشهد; cyber
حصل والله دا عيل متخلف ولو انكر كدا يبقا عيل مش تمام لان البرعى برضه كان قاعد معانا وفضلنا نضحك ونتريق عليه طول اليوم; cyber
هو التقل مطلوب وكل حاجه بس مش لدرجة اربع سنين؟; cyber
ده عيل متخلف ، يارب صاحبنا ميكونش نفس تفكيره يارب; cyber
يلا انا كنت بقول لمصطفي مش ليك انت  و بعدين لو مالاول اصلا فحنا صحاب من 9 سنين هو حاسبها غلط ; cyber
و قال اى فى هندسه عيل متخلف ; cyber
ورب البيت مهزلة أصلا هي كيف ترضى على نفسها تتوظف بمكان زي كذا؟؟; cyber
حلوه ذي بنت تتوظف ببلدها العتب ع الي سامحين للأجانب من دول متخلفه وعقليه زي كذه تشتغل عندنا لنا سنين بجامعاتنا يدرسون تخصصات صيدلة وطب عشان يمسكون البلد هذا مكانهم مو مكان الغريب واذا البنت واعيه تحط لهم حد لانهم نصابين; cyber
أعرفُ شخصاً تزوّج الثانيّة بعد ولادة زوجته الأولى بمولودهم البِكر بأيام فلم يتأنّى و لم يخترِ الوقت المُناسب للإقدام على هذه الخطوة و تصريحه بالأمر و مُفاخرته به في المجالس يوحي لي بمالا يدعُ مجالاً للشَك أنه مُعتلٌ يحتاجُ إلى تطبيب ..; cyber
